,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
16687,YDJC,24.97113803398535,-0.032509820471221015,0.3350263198254775,-0.09703661637138267,0.9226973159868688,0.9994290447843712,cytotoxic_vs_rest,-0.09703661637138267
16688,EID2,2.8489567249997534,0.06608184709277272,0.6812726125479335,0.09699765684933252,0.9227282552396998,0.9994290447843712,cytotoxic_vs_rest,0.09699765684933252
16689,BCL2L1,13.988556946626785,-0.05133196354638029,0.530065955287707,-0.09684071016882899,0.9228528938104846,0.9994290447843712,cytotoxic_vs_rest,-0.09684071016882898
16693,DHX9,37.91147096835044,0.029099641954818015,0.3008970236856635,0.0967096370657936,0.9229569864362919,0.9994290447843712,cytotoxic_vs_rest,0.0967096370657936
16694,CGGBP1,100.72150323139549,-0.02660326543482774,0.275238119999097,-0.09665545395715906,0.9230000167183177,0.9994290447843712,cytotoxic_vs_rest,-0.09665545395715908
16695,GOLGA7B,1.6193470596201605,0.0945088928763954,0.9783130739077012,0.09660393528106098,0.9230409312125679,0.9994290447843712,cytotoxic_vs_rest,0.09660393528106098
16696,HIATL2,3.6272455903883047,0.08518833616976655,0.8846871817815023,0.09629204302273495,0.9232886304699226,0.9994290447843712,cytotoxic_vs_rest,0.09629204302273495
16697,ZNF680,5.9955317230848895,0.04450154529663344,0.4631504784898828,0.0960844204279615,0.9234535247498784,0.9994290447843712,cytotoxic_vs_rest,0.0960844204279615
16699,IL17F,0.975363997864625,-0.11674173399812293,1.2153244468512832,-0.09605808086933709,0.9234744439152884,0.9994290447843712,cytotoxic_vs_rest,-0.09605808086933709
16700,OAS3,8.387945780320525,-0.05315495373834446,0.5537256560251616,-0.09599510725204519,0.9235244584651009,0.9994290447843712,cytotoxic_vs_rest,-0.09599510725204517
16701,RAB34,10.361410259586295,-0.07302958917561131,0.7609222498938648,-0.09597510019689613,0.9235403484184721,0.9994290447843712,cytotoxic_vs_rest,-0.09597510019689613
16702,NUDT16,26.901700594935257,-0.06700381320661299,0.698769383999248,-0.0958883069878246,0.9236092814574127,0.9994290447843712,cytotoxic_vs_rest,-0.09588830698782459
16704,CENPE,8.865193601808961,0.04646306954862703,0.4850199002706935,0.09579621273827242,0.9236824253243687,0.9994290447843712,cytotoxic_vs_rest,0.09579621273827242
16705,CLSPN,9.855793375208268,0.043985753657800546,0.45952523173823845,0.09571999668313397,0.923742958766672,0.9994290447843712,cytotoxic_vs_rest,0.09571999668313395
16707,F8,2.067237317309082,0.07418982741193315,0.776027525203809,0.09560205663123689,0.923836631728953,0.9994290447843712,cytotoxic_vs_rest,0.09560205663123687
16708,NCK1,60.40458999394746,-0.020251071339060914,0.21231297629227344,-0.09538310701830569,0.9240105335432315,0.9994290447843712,cytotoxic_vs_rest,-0.09538310701830567
16709,VIPAS39,6.440261663499766,0.03884533184552674,0.40750439618817436,0.09532493933535145,0.9240567341243884,0.9994290447843712,cytotoxic_vs_rest,0.09532493933535145
16710,ALG10,3.684451239493398,0.055304798689729026,0.5823561479508299,0.0949673131885586,0.9243407898419338,0.9994290447843712,cytotoxic_vs_rest,0.09496731318855858
16711,POMT1,6.209725612456802,-0.042780631615280326,0.4506151787738743,-0.09493828355202458,0.9243638479596948,0.9994290447843712,cytotoxic_vs_rest,-0.09493828355202458
16712,NDUFS3,70.62921604103089,-0.01711009465915889,0.18058802703214968,-0.09474656177573065,0.9245161333521844,0.9994290447843712,cytotoxic_vs_rest,-0.09474656177573067
16713,MYO1B,1.4838462822559986,-0.08321404374208673,0.8791776155456272,-0.09464986627354381,0.9245929400355544,0.9994290447843712,cytotoxic_vs_rest,-0.09464986627354381
16716,POLR2L,341.1313010346924,-0.02956365400477438,0.3130639240063449,-0.09443328259111454,0.9247649782428276,0.9994290447843712,cytotoxic_vs_rest,-0.09443328259111455
16717,DNAJC30,11.67598440182762,0.03102614963969487,0.32860405639593054,0.09441803604004172,0.9247770891184792,0.9994290447843712,cytotoxic_vs_rest,0.09441803604004172
16718,GTF2H2,3.652655972216136,0.08434719984943814,0.8939666692538424,0.09435161594988695,0.9248298491525055,0.9994290447843712,cytotoxic_vs_rest,0.09435161594988695
16720,DDX3Y,33.10550199490589,0.11617949578766819,1.232707774078662,0.09424739441957514,0.9249126369917366,0.9994290447843712,cytotoxic_vs_rest,0.09424739441957514
